,Name,Rating,Specials,Delivery time,Cost,Coupons
52,Mezaya,4.6,Desserts,50 MINS,₹500 FOR TWO,50% off | Use WELCOME50
53,New York Churros,4.6,Desserts,52 MINS,₹250 FOR TWO,50% off | Use WELCOME50
54,The Barn Grill,4.6,"American, Continental",53 MINS,₹900 FOR TWO,50% off | Use WELCOME50
55,SMOOR,4.6,"Desserts, Bakery",45 MINS,₹350 FOR TWO,60% off | Use TRYNEW
56,NAGAURI TEA & SNACKS CORNER,4.6,"Snacks, Beverages",45 MINS,₹100 FOR TWO,40% off on all orders
57,Roots Of India,4.6,"North Indian, Chinese, Biryani, Kebabs, Mughlai, Asian, Oriental",48 MINS,₹1000 FOR TWO,FREE DELIVERY
58,Kian Biryani,4.6,Biryani,49 MINS,₹475 FOR TWO,50% off | Use WELCOME50
59,Go Ganjing,4.6,"Biryani, North Indian",52 MINS,₹1000 FOR TWO,50% off | Use WELCOME50
60,Le15 Patisserie Powai,4.6,"Desserts, Bakery",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
61,Clove & Vinegar,4.6,"Chinese, Indian, Snacks, Tandoor, North Indian, Biryani",47 MINS,₹250 FOR TWO,50% off | Use WELCOME50
62,Elementaria Bakery & Cafe,4.6,"Desserts, Bakery",33 MINS,₹800 FOR TWO,50% off | Use WELCOME50
63,Giani's,4.6,"Ice Cream, Ice Cream Cakes, Beverages, Desserts",38 MINS,₹250 FOR TWO,15% off on all orders
64,Good Flippin' Burgers,4.6,"Burgers, Fast Food, American",41 MINS,₹600 FOR TWO,50% off | Use WELCOME50
65,Mirchi And Mime,4.6,Indian,43 MINS,₹1600 FOR TWO,50% off | Use WELCOME50
66,Keventers Ice Cream,4.6,"Ice Cream, Desserts",31 MINS,₹300 FOR TWO,50% off | Use TRYNEW
67,Gourmet Ice Cream Cakes by Baskin Robbins,4.6,"Desserts, Ice Cream, Bakery",35 MINS,₹250 FOR TWO,50% off | Use WELCOME50
68,Apsara Ice Creams,4.6,"Ice Cream, Desserts",28 MINS,₹150 FOR TWO,50% off | Use WELCOME50
69,BRUFFLES-waffle from brussels,4.6,Bakery,36 MINS,₹200 FOR TWO,50% off | Use WELCOME50
70,KERALA BAZAAR ONLINE,4.5,"South Indian, Snacks",53 MINS,₹200 FOR TWO,50% off | Use WELCOME50
71,Sri Krishna Sweets,4.5,Sweets,55 MINS,₹200 FOR TWO,50% off | Use WELCOME50
72,Amul Ice Cream Parlour,4.5,"Ice Cream, Desserts",50 MINS,₹200 FOR TWO,50% off | Use WELCOME50
73,Sadguru Veg Diet-(Station),4.5,North Indian,57 MINS,₹650 FOR TWO,50% off | Use WELCOME50
74,Tafe Terrace Cafe,4.5,"Asian, Indian",64 MINS,₹280 FOR TWO,50% off | Use WELCOME50
75,Sadguru Veg Diet-(BMC),4.5,North Indian,59 MINS,₹550 FOR TWO,50% off | Use WELCOME50
76,Keto Cop,4.5,"Keto, Indian, Italian, Continental, Snacks",60 MINS,₹400 FOR TWO,50% off | Use WELCOME50
77,Thotrin Cafe,4.5,"Indian, Chinese",63 MINS,₹500 FOR TWO,50% off | Use WELCOME50
78,CPAAN,4.5,Indian,51 MINS,₹100 FOR TWO,50% off | Use WELCOME50
79,Bombay Kitchen,4.5,"Indian, Chinese, Pizzas, Pastas, Snacks, Biryani, Continental, Beverages, Desser...",56 MINS,₹350 FOR TWO,50% off | Use WELCOME50
80,Punjabi Paneer,4.5,Indian,46 MINS,₹350 FOR TWO,50% off | Use WELCOME50
81,R Steam Hot,4.5,Continental,56 MINS,₹500 FOR TWO,50% off | Use WELCOME50
82,Jhama Sweets,4.5,"Sweets, Chaat",48 MINS,₹150 FOR TWO,50% off | Use WELCOME50
83,Mohanlal S Mithaiwala-RS,4.5,Sweets,48 MINS,₹700 FOR TWO,50% off | Use WELCOME50
84,Kantilal Damodar Mithaiwala,4.5,"Snacks, Sweets",41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
85,ITC Hotels - Biryani & Pulao Collection,4.5,Indian,67 MINS,₹1500 FOR TWO,50% off | Use WELCOME50
86,Hit & Run,4.5,"Mughlai, Lebanese, Chinese, Salads",49 MINS,₹700 FOR TWO,50% off | Use WELCOME50
87,Jain Dugdhalay (sneh),4.5,Desserts,44 MINS,₹250 FOR TWO,50% off | Use WELCOME50
88,THE CURRY STORY,4.5,"Indian, Biryani, Beverages",52 MINS,₹400 FOR TWO,50% off | Use WELCOME50
89,The Belgian Waffle Co.,4.5,"Waffle, Desserts, Ice Cream",48 MINS,₹200 FOR TWO,20% off | Use TRYNEW
90,Jeden - The Cake Expert,4.5,"Desserts, Bakery, Fast Food",47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
91,Al Nizami Darbar,4.5,"Indian, Chinese, Arabian, Tandoor, North Indian, Beverages",55 MINS,₹500 FOR TWO,50% off | Use WELCOME50
92,Merwans Cake Stop,4.5,"Bakery, Desserts, Snacks",43 MINS,₹200 FOR TWO,50% off | Use WELCOME50
93,Gulati's,4.5,"Sweets, Snacks",44 MINS,₹400 FOR TWO,50% off | Use WELCOME50
94,Tatya's kitchen,4.5,"North Indian, Biryani",54 MINS,₹200 FOR TWO,50% off | Use WELCOME50
95,B Burger,4.5,"American, Snacks, Beverages",44 MINS,₹500 FOR TWO,50% off | Use WELCOME50
96,Grameen Kulfi,4.5,"Ice Cream, Desserts",35 MINS,₹120 FOR TWO,50% off | Use SPECIALS
97,The Brooklyn Creamery - Healthy Ice Cream,4.5,"Desserts, Ice Cream",34 MINS,₹200 FOR TWO,50% off | Use WELCOME50
98,Fat Monk Chinese,4.5,"Chinese, Asian, Seafood",54 MINS,₹450 FOR TWO,50% off | Use WELCOME50
99,Shakes N More,4.5,"Beverages, Desserts",40 MINS,₹250 FOR TWO,50% off | Use WELCOME50
100,NIC Natural Ice Creams,4.5,"Ice Cream, Desserts",35 MINS,₹120 FOR TWO,50% off | Use WELCOME50
101,Sandwizzaa,4.5,Fast Food,44 MINS,₹250 FOR TWO,50% off | Use WELCOME50
