,Name,Rating,Specials,Delivery time,Cost,Coupons
227,Saptami - Holiday Inn,4.3,"Indian, Asian, European",57 MINS,₹550 FOR TWO,50% off | Use WELCOME50
228,Urban Tadka,4.3,North Indian,50 MINS,₹800 FOR TWO,50% off | Use WELCOME50
229,Ciro's Pizzeria,4.3,"Pastas, Pizzas, Italian, Continental",48 MINS,₹600 FOR TWO,50% off | Use WELCOME50
230,One Square Meal,4.3,"North Indian, Chinese, Pastas, Thalis, Fast Food, Punjabi, Mughlai, European, Am...",50 MINS,₹500 FOR TWO,50% off | Use WELCOME50
231,Prithvi Cafe,4.3,"North Indian, Italian, Snacks, Desserts, Beverages",46 MINS,₹400 FOR TWO,50% off | Use WELCOME50
232,UNNATI KITCHEN,4.3,"Indian, Chinese, Tandoor",55 MINS,₹250 FOR TWO,50% off | Use WELCOME50
233,Sweetish House Mafia,4.3,Desserts,51 MINS,₹250 FOR TWO,50% off | Use WELCOME50
234,Wild Wild West,4.3,"Italian, Snacks, Fast Food, North Indian, Salads",49 MINS,₹500 FOR TWO,40% off on all orders
235,SLYCE,4.3,"Italian, Pizzas",47 MINS,₹600 FOR TWO,FREE DELIVERY
236,Goila Butter Chicken,4.3,Indian,46 MINS,₹600 FOR TWO,50% off | Use WELCOME50
237,Sunny Restaurant And Bar,4.3,"Indian, Chinese, Tandoor",42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
238,Only Roti's,4.3,"Indian, Desserts",49 MINS,₹250 FOR TWO,50% off | Use WELCOME50
239,Oriental Majik,4.3,"Chinese, Asian",43 MINS,₹250 FOR TWO,50% off | Use WELCOME50
240,Global Foodie,4.3,"Chinese, Mexican, Italian, Pan-Asian, Thai, Malaysian, Oriental, Italian-America...",51 MINS,₹500 FOR TWO,50% off | Use WELCOME50
241,Sudarshan Veg Restaurant,4.3,"Indian, Chinese, South Indian",47 MINS,₹700 FOR TWO,50% off | Use WELCOME50
242,FoodPost,4.3,"Chinese, Indian",45 MINS,₹300 FOR TWO,50% off | Use WELCOME50
243,The Bowl Project,4.3,"Oriental, Italian-American, Indian, Asian",40 MINS,₹650 FOR TWO,50% off | Use WELCOME50
244,Maiz Mexican Kitchen,4.3,Mexican,42 MINS,₹700 FOR TWO,50% off | Use WELCOME50
245,Gurukripa (Powai),4.3,"North Indian, Chinese, Seafood",45 MINS,₹500 FOR TWO,50% off | Use WELCOME50
246,The Good Bowl,4.3,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",40 MINS,₹400 FOR TWO,50% off | Use WELCOME50
247,ZAZA 22 Spice Biryani,4.3,"Biryani, North Indian, Mughlai",35 MINS,₹250 FOR TWO,50% off | Use WELCOME50
248,Kabab Ghar,4.3,Indian,47 MINS,₹400 FOR TWO,50% off | Use WELCOME50
249,Chai Point,4.3,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",42 MINS,₹150 FOR TWO,50% off | Use WELCOME50
250,Harvest Salad Co,4.3,"Salads, Fast Food",45 MINS,₹700 FOR TWO,50% off | Use WELCOME50
251,Fuel Up,4.3,"Healthy Food, Salads, Continental",41 MINS,₹250 FOR TWO,50% off | Use WELCOME50
252,Aromas Cafe & Bistro - Powai,4.3,"Pizzas, Pastas, Italian, Middle Eastern, Continental, Beverages, Desserts",43 MINS,₹1000 FOR TWO,50% off | Use WELCOME50
253,Behrouz Biryani,4.3,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",40 MINS,₹500 FOR TWO,50% off | Use WELCOME50
254,HANGLA'S,4.3,Bengali,42 MINS,₹250 FOR TWO,50% off | Use WELCOME50
255,Bread Up - From the house of Mia Cucina,4.3,Desserts,41 MINS,₹500 FOR TWO,50% off | Use WELCOME50
256,Birdy's Cake Shop,4.3,Bakery,38 MINS,₹250 FOR TWO,50% off | Use WELCOME50
257,Bread Butter Beyond,4.3,Indian,44 MINS,₹400 FOR TWO,50% off | Use WELCOME50
258,Starbucks Coffee,4.3,"Beverages, Ice Cream",35 MINS,₹400 FOR TWO,40% off | Use TRYNEW
259,Halwai Ki Dukan,4.3,"North Indian, Rajasthani",49 MINS,₹300 FOR TWO,50% off | Use WELCOME50
260,Trupti Farsan,4.3,"Snacks, Pizzas, Indian, Fast Food",37 MINS,₹200 FOR TWO,50% off | Use WELCOME50
261,Mia Cucina,4.3,Italian,46 MINS,₹2000 FOR TWO,50% off | Use WELCOME50
262,Madeira & Mime,4.3,"Indian, Italian, Asian",41 MINS,₹1000 FOR TWO,50% off | Use WELCOME50
263,JOSHH - India Ka Apna Taste,4.3,"Indian, North Indian, South Indian, Thalis, Ice Cream, Snacks, Street Food, Chaa...",38 MINS,₹200 FOR TWO,50% off | Use WELCOME50
264,McDonald's,4.3,"Burgers, Beverages, Cafe, Desserts",45 MINS,₹400 FOR TWO,50% off | Use WELCOME50
265,Rainbow Juice Centre,4.3,Beverages,36 MINS,₹300 FOR TWO,50% off | Use WELCOME50
266,Pawri Kitchen,4.3,"Indian, Continental, Pastas",44 MINS,₹400 FOR TWO,50% off | Use WELCOME50
267,Bayroute,4.3,"Middle Eastern, Lebanese",45 MINS,₹1500 FOR TWO,50% off | Use WELCOME50
268,Trupti Farsan Chandivali,4.3,"Snacks, Fast Food, Indian",38 MINS,₹200 FOR TWO,50% off | Use WELCOME50
269,Laxmi Next,4.3,"Chaat, Chinese, Indian, Tandoor",38 MINS,₹250 FOR TWO,50% off | Use WELCOME50
270,Nothing But Chicken,4.3,"Salads, Fast Food",34 MINS,₹400 FOR TWO,50% off | Use WELCOME50
271,Cafe Coffee Day,4.3,"Beverages, Snacks, Desserts",35 MINS,₹300 FOR TWO,50% off | Use WELCOME50
272,Chaayos Chai+Snacks=Relax,4.3,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, S...",36 MINS,₹250 FOR TWO,50% off | Use WELCOME50
273,UDUPI 2 MUMBAI,4.2,"South Indian, Beverages",69 MINS,₹300 FOR TWO,50% off | Use WELCOME50
274,Bangalore Iyangars Bakery and Cake shop,4.2,Bakery,67 MINS,₹400 FOR TWO,50% off | Use WELCOME50
275,Juice Mantra Fresh Fruit Center,4.2,"Fast Food, Juices",54 MINS,₹300 FOR TWO,50% off | Use WELCOME50
276,Le Cafe (Jewel of Chembur),4.2,"Italian, American, Desserts",66 MINS,₹1200 FOR TWO,50% off | Use WELCOME50
277,Gupta BhelPuri Stall,4.2,Chaat,54 MINS,₹100 FOR TWO,50% off | Use WELCOME50
278,Oh My Wraps,4.2,"Chinese, Fast Food, Indian, North Indian",62 MINS,₹250 FOR TWO,60% off | Use TRYNEW
279,Nityanand Restaurant,4.2,"Street Food, North Indian, South Indian",61 MINS,₹350 FOR TWO,50% off | Use WELCOME50
280,lan lan restaurant,4.2,Chinese,63 MINS,₹400 FOR TWO,50% off | Use WELCOME50
281,Easyhuman,4.2,"Healthy Food, Keto, Beverages, Salads, Desserts, Indian",60 MINS,₹400 FOR TWO,50% off | Use WELCOME50
282,Pizza Terracotta,4.2,"Pizzas, Snacks, Italian",64 MINS,₹400 FOR TWO,50% off | Use WELCOME50
283,Vijay's Kitchen,4.2,Indian,65 MINS,₹200 FOR TWO,50% off | Use WELCOME50
284,Alex Dragon Food court,4.2,"Chinese, Indian",54 MINS,₹400 FOR TWO,50% off | Use WELCOME50
285,Gopala's Next,4.2,"Chinese, North Indian, South Indian",57 MINS,₹500 FOR TWO,50% off | Use WELCOME50
286,Hotel Mahesh Fine Dine,4.2,Indian,60 MINS,₹400 FOR TWO,50% off | Use WELCOME50
287,Classic Veg Restaurant,4.2,"South Indian, Indian, Chinese",56 MINS,₹450 FOR TWO,50% off | Use WELCOME50
288,Keventerss The Beverages,4.2,"Beverages, Desserts, Ice Cream",55 MINS,₹300 FOR TWO,50% off | Use WELCOME50
289,Cremeborne - Ice Creams & dessert,4.2,"Ice Cream, Beverages",51 MINS,₹300 FOR TWO,50% off | Use WELCOME50
290,"Brijwasi Sweets, Original Since 1946 - GD Group",4.2,"Sweets, Desserts, Fast Food, Snacks, Beverages",48 MINS,₹250 FOR TWO,50% off | Use WELCOME50
291,Havmour Ice Cream,4.2,Ice Cream,48 MINS,₹150 FOR TWO,50% off | Use WELCOME50
292,Occasions,4.2,"Bakery, Desserts",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
293,Gopal Krishna's veg restaurant,4.2,"South Indian, Chinese, Indian",48 MINS,₹350 FOR TWO,50% off | Use WELCOME50
294,Achija,4.2,Snacks,50 MINS,₹200 FOR TWO,50% off | Use WELCOME50
295,Brijwasi Sweets Andheri east J.B.  nagar,4.2,"Indian, Snacks, Desserts, Sweets, Street Food, Chaat",47 MINS,₹150 FOR TWO,50% off | Use WELCOME50
296,Something's Fishy- International by Tunga Andheri,4.2,"Seafood, Coastal, North Indian, Goan",58 MINS,₹700 FOR TWO,50% off | Use WELCOME50
297,Cream Centre - Veg Bistro,4.2,"Italian, Mexican, Indian",65 MINS,₹1100 FOR TWO,50% off | Use WELCOME50
298,Apna Dhaba,4.2,Indian,51 MINS,₹500 FOR TWO,50% off | Use WELCOME50
299,Locho House,4.2,Gujarati,48 MINS,₹100 FOR TWO,50% off | Use WELCOME50
300,Caro-Sooper,4.2,Ice Cream,43 MINS,₹400 FOR TWO,60% off | Use TRYNEW
301,Shree Ram Juice Centre,4.2,"Fast Food, Juices",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
302,Kung Fu Panda,4.2,"Chinese, Thai, Asian",52 MINS,₹600 FOR TWO,50% off | Use WELCOME50
303,Cakes and rolls,4.2,Chinese,53 MINS,₹200 FOR TWO,50% off | Use WELCOME50
304,Ganga - Paradise By Tunga,4.2,"South Indian, Indian",49 MINS,₹350 FOR TWO,50% off | Use WELCOME50
305,Bangalore Iyangar's Bakery,4.2,"Desserts, Bakery, Sweets, Ice Cream",44 MINS,₹300 FOR TWO,50% off | Use WELCOME50
306,Hariprasad,4.2,"Indian, Chinese, Tandoor, Kebabs, Afghani, Desserts, Beverages",55 MINS,₹350 FOR TWO,50% off | Use WELCOME50
307,Chimichurri - All Day Asian Diner,4.2,"Asian, Japanese",52 MINS,₹1300 FOR TWO,50% off | Use WELCOME50
308,Oishi Oishi By Persian Darbar,4.2,"Chinese, Japanese, Pan-Asian, Tibetan, Asian, Beverages",54 MINS,₹600 FOR TWO,50% off | Use WELCOME50
309,MAMA CAKES AND BAKERS,4.2,"Bakery, Desserts",50 MINS,₹90 FOR TWO,50% off | Use WELCOME50
310,A 1 Ice Creams,4.2,"Desserts, Ice Cream",43 MINS,₹200 FOR TWO,50% off | Use WELCOME50
311,5 Spice,4.2,"Chinese, Desserts",46 MINS,₹1100 FOR TWO,50% off | Use WELCOME50
312,Amar Juice Centre,4.2,"Indian, Chinese",47 MINS,₹550 FOR TWO,50% off | Use WELCOME50
313,Great Indian Khichdi by EatFit,4.2,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, Sou...",42 MINS,₹200 FOR TWO,50% off | Use GUILTFREE
314,Gopala's Veg Kitchen,4.2,"North Indian, South Indian, Biryani, Chinese, Desserts",46 MINS,₹350 FOR TWO,50% off | Use WELCOME50
315,Smoke House Deli,4.2,"American, Italian, European",54 MINS,₹800 FOR TWO,50% off | Use WELCOME50
316,Diet Experts,4.2,"Salads, Healthy Food",49 MINS,₹400 FOR TWO,50% off | Use WELCOME50
317,East Pan Asian,4.2,"Pan-Asian, Chinese, Continental",53 MINS,₹500 FOR TWO,50% off | Use WELCOME50
318,The Healthy Farm Juice Center,4.2,"Juices, Salads, Beverages, Healthy Food, Cafe",46 MINS,₹180 FOR TWO,50% off | Use WELCOME50
319,Pomona Cafe,4.2,"Italian-American, European, Continental",44 MINS,₹500 FOR TWO,50% off | Use WELCOME50
320,Vijay's Kitchen,4.2,Indian,65 MINS,₹200 FOR TWO,50% off | Use WELCOME50
321,Alex Dragon Food court,4.2,"Chinese, Indian",54 MINS,₹400 FOR TWO,50% off | Use WELCOME50
322,Gopala's Next,4.2,"Chinese, North Indian, South Indian",57 MINS,₹500 FOR TWO,50% off | Use WELCOME50
323,Hotel Mahesh Fine Dine,4.2,Indian,60 MINS,₹400 FOR TWO,50% off | Use WELCOME50
324,Classic Veg Restaurant,4.2,"South Indian, Indian, Chinese",56 MINS,₹450 FOR TWO,50% off | Use WELCOME50
325,Keventerss The Beverages,4.2,"Beverages, Desserts, Ice Cream",55 MINS,₹300 FOR TWO,50% off | Use WELCOME50
326,Cremeborne - Ice Creams & dessert,4.2,"Ice Cream, Beverages",51 MINS,₹300 FOR TWO,50% off | Use WELCOME50
327,"Brijwasi Sweets, Original Since 1946 - GD Group",4.2,"Sweets, Desserts, Fast Food, Snacks, Beverages",48 MINS,₹250 FOR TWO,50% off | Use WELCOME50
328,Havmour Ice Cream,4.2,Ice Cream,48 MINS,₹150 FOR TWO,50% off | Use WELCOME50
329,Occasions,4.2,"Bakery, Desserts",47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
330,Gopal Krishna's veg restaurant,4.2,"South Indian, Chinese, Indian",48 MINS,₹350 FOR TWO,50% off | Use WELCOME50
331,Achija,4.2,Snacks,50 MINS,₹200 FOR TWO,50% off | Use WELCOME50
332,Brijwasi Sweets Andheri east J.B.  nagar,4.2,"Indian, Snacks, Desserts, Sweets, Street Food, Chaat",47 MINS,₹150 FOR TWO,50% off | Use WELCOME50
333,Something's Fishy- International by Tunga Andheri,4.2,"Seafood, Coastal, North Indian, Goan",58 MINS,₹700 FOR TWO,50% off | Use WELCOME50
334,Cream Centre - Veg Bistro,4.2,"Italian, Mexican, Indian",65 MINS,₹1100 FOR TWO,50% off | Use WELCOME50
335,Apna Dhaba,4.2,Indian,52 MINS,₹500 FOR TWO,50% off | Use WELCOME50
336,Ribbons and Balloons,4.2,"Bakery, Desserts",33 MINS,₹300 FOR TWO,50% off | Use WELCOME50
337,Chili's American Grill & Bar,4.2,"Mexican, American",41 MINS,₹900 FOR TWO,50% off | Use WELCOME50
338,"DIMSUM WU (Chinese, Momo, Shushi & more)",4.2,"Chinese, Sushi, Seafood",41 MINS,₹400 FOR TWO,50% off | Use WELCOME50
339,Burger King,4.2,"Burgers, American",45 MINS,₹350 FOR TWO,Get every item under 129
340,Cheelizza - India Ka Pizza,4.2,"Pizzas, Italian, Desserts, Beverages",46 MINS,₹500 FOR TWO,FREE DELIVERY
341,Wow! Momo,4.2,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",38 MINS,₹300 FOR TWO,50% off | Use GUILTFREE
342,Rasobongo Powai ( Authentic Bengali Sweets ),4.2,"Bengali, Sweets, Snacks",35 MINS,₹150 FOR TWO,50% off | Use WELCOME50
343,Hangout Cakes & More,4.2,Desserts,29 MINS,₹150 FOR TWO,50% off | Use WELCOME50
344,Cafe Alvi,4.1,North Indian,61 MINS,₹500 FOR TWO,50% off | Use WELCOME50
345,East End Deli,4.1,"Desserts, Snacks, Fast Food, Beverages",62 MINS,₹300 FOR TWO,50% off | Use WELCOME50
346,Cafe Quba,4.1,"Chinese, Indian, North Indian",58 MINS,₹400 FOR TWO,50% off | Use WELCOME50
347,S P Burger,4.1,Pizzas,53 MINS,₹200 FOR TWO,50% off | Use WELCOME50
348,Everything Rice,4.1,Biryani,60 MINS,₹350 FOR TWO,50% off | Use WELCOME50
349,PUSHPAK COMBOZ,4.1,"Combo, Chinese, Indian, Snacks, Tandoor, North Indian, Chaat, Pastas, Pizzas",53 MINS,₹300 FOR TWO,60% off | Use TRYNEW
350,ANHAD MISAL,4.1,"Maharashtrian, Snacks",56 MINS,₹150 FOR TWO,50% off | Use WELCOME50
351,Cafe Sahar,4.1,"North Indian, Chinese, Mughlai, Desserts, Fast Food",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
352,Suraj Chinese,4.1,Chinese,52 MINS,₹300 FOR TWO,50% off | Use WELCOME50
353,"SHREENATH SWEETS, SNACKS AND FARSAN",4.1,"Desserts, Snacks, Sweets",55 MINS,₹150 FOR TWO,50% off | Use WELCOME50
354,Ching Asia,4.1,"Chinese, Thai",54 MINS,₹400 FOR TWO,50% off | Use WELCOME50
355,Hotel bharat,4.1,"South Indian, Snacks, Beverages",51 MINS,₹300 FOR TWO,50% off | Use WELCOME50
356,ROYAL SYMPHONY,4.1,"Indian, Chinese, Biryani, Rajasthani",61 MINS,₹400 FOR TWO,50% off | Use WELCOME50
357,Anna Punjabi Veg Restaurant,4.1,"South Indian, North Indian, Chinese, Biryani, Fast Food",52 MINS,₹300 FOR TWO,50% off | Use WELCOME50
358,Live bakers,4.1,Desserts,50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
359,Gourmet Couch By ITC Maratha,4.1,"Indian, Chinese",66 MINS,₹3000 FOR TWO,50% off | Use WELCOME50
360,VADAPAV TREAT,4.1,"Snacks, North Indian",60 MINS,₹200 FOR TWO,50% off | Use WELCOME50
361,Cheftoon,4.1,"Chinese, North Indian",55 MINS,₹550 FOR TWO,50% off | Use WELCOME50
362,BEST BELGIAN WAFFLE,4.1,"Indian, Desserts, Ice Cream, Bakery",55 MINS,₹300 FOR TWO,50% off | Use WELCOME50
363,Chavan Vada Pav,4.1,"Snacks, Indian",50 MINS,₹100 FOR TWO,50% off | Use WELCOME50
364,Magic Pancakes,4.1,"Desserts, Beverages",52 MINS,₹250 FOR TWO,50% off | Use WELCOME50
365,The Biryani Kahani,4.1,"Biryani, Indian, Desserts",52 MINS,₹400 FOR TWO,50% off | Use WELCOME50
366,Wack Waffles & Brownies,4.1,"Waffle, Desserts, Bakery, Beverages",50 MINS,₹300 FOR TWO,50% off | Use WELCOME50
367,Hungry.Com,4.1,"North Indian, Chinese",49 MINS,₹350 FOR TWO,50% off | Use WELCOME50
368,Navya - The Regale by Tunga,4.1,"North Indian, Chinese, Thai, Continental",51 MINS,₹800 FOR TWO,50% off | Use WELCOME50
369,Nayaab Biryani,4.1,"Biryani, Mughlai",50 MINS,₹400 FOR TWO,50% off | Use WELCOME50
370,Mahesh Lunch Home,4.1,Indian,52 MINS,₹900 FOR TWO,50% off | Use WELCOME50
371,The Tiny Tub,4.1,"Desserts, Bakery, Sweets, Snacks",54 MINS,₹300 FOR TWO,50% off | Use WELCOME50
372,The Appetite Momos,4.1,"Tibetan, Snacks, Fast Food",46 MINS,₹200 FOR TWO,50% off | Use WELCOME50
373,Francesco's Pizzeria,4.1,Italian,45 MINS,₹700 FOR TWO,50% off | Use WELCOME50
374,Cafe Safar ( Andheri East ),4.1,"Chinese, North Indian, Biryani, Desserts",45 MINS,₹250 FOR TWO,50% off | Use WELCOME50
375,Shalimar,4.1,"Indian, Chinese",49 MINS,₹700 FOR TWO,50% off | Use WELCOME50
376,Huber & Holly,4.1,"Desserts, Ice Cream",47 MINS,₹200 FOR TWO,50% off | Use WELCOME50
377,Shokoufeh,4.1,Chinese,47 MINS,₹320 FOR TWO,50% off | Use WELCOME50
378,Paris Waffle Co.,4.1,"Bakery, Desserts",46 MINS,₹200 FOR TWO,50% off | Use WELCOME50
379,Chopssticks,4.1,"Indian, Chinese",47 MINS,₹600 FOR TWO,50% off | Use WELCOME50
380,Persian Darbar,4.1,"Indian, Chinese",47 MINS,₹1100 FOR TWO,50% off | Use WELCOME50
381,Pop Tate's,4.1,"Continental, Italian, European, Mexican",50 MINS,₹1600 FOR TWO,50% off | Use WELCOME50
382,Cafe Relish,4.1,"Continental, Italian, American, Salads",52 MINS,₹350 FOR TWO,50% off | Use WELCOME50
383,Social,4.1,"North Indian, Chinese, Fast Food, Biryani, Pizzas, Salads, Kebabs, Juices, Desse...",50 MINS,₹500 FOR TWO,50% off | Use WELCOME50
384,UDUPI DOSAKA,4.1,"South Indian, North Indian, Sweets, Beverages",69 MINS,₹200 FOR TWO,50% off | Use WELCOME50
385,Gourmet Couch By ITC Maratha,4.1,"Indian, Chinese",66 MINS,₹3000 FOR TWO,50% off | Use WELCOME50
386,East End Deli,4.1,"Desserts, Snacks, Fast Food, Beverages",63 MINS,₹300 FOR TWO,50% off | Use WELCOME50
387,LUCKY QUALITY FRANKIE,4.1,"Snacks, Fast Food, Jain",63 MINS,₹150 FOR TWO,50% off | Use WELCOME50
388,ROYAL SYMPHONY,4.1,"Indian, Chinese, Biryani, Rajasthani",61 MINS,₹400 FOR TWO,50% off | Use WELCOME50
389,Cafe Alvi,4.1,North Indian,61 MINS,₹500 FOR TWO,50% off | Use WELCOME50
390,VADAPAV TREAT,4.1,"Snacks, North Indian",60 MINS,₹200 FOR TWO,50% off | Use WELCOME50
391,Happy Grillmore,4.1,"Lebanese, Middle Eastern",60 MINS,₹240 FOR TWO,50% off | Use WELCOME50
392,Everything Rice,4.1,Biryani,60 MINS,₹350 FOR TWO,60% off | Use TRYNEW
393,House of Punjab,4.1,Indian,59 MINS,₹400 FOR TWO,50% off | Use WELCOME50
394,Biryani By Kilo,4.1,"Biryani, Mughlai, Kebabs, North Indian, Hyderabadi, Lucknowi, Andhra, South Indi...",58 MINS,₹700 FOR TWO,40% off | Use TRYNEW
395,Cafe Quba,4.1,"Chinese, Indian, North Indian",58 MINS,₹400 FOR TWO,50% off | Use WELCOME50
396,ANHAD MISAL,4.1,"Maharashtrian, Snacks",56 MINS,₹150 FOR TWO,50% off | Use WELCOME50
397,"SHREENATH SWEETS, SNACKS AND FARSAN",4.1,"Desserts, Snacks, Sweets",55 MINS,₹150 FOR TWO,50% off | Use WELCOME50
398,Cheftoon,4.1,"Chinese, North Indian",54 MINS,₹550 FOR TWO,50% off | Use WELCOME50
399,Ching Asia,4.1,"Chinese, Thai",54 MINS,₹400 FOR TWO,50% off | Use WELCOME50
400,Hungry Head,4.1,"Chinese, Italian",42 MINS,₹400 FOR TWO,50% off | Use WELCOME50
401,Domino's Pizza,4.1,Pizzas,30 MINS,₹400 FOR TWO,50% off | Use WELCOME50
402,Cake Walk 72,4.1,Desserts,47 MINS,₹300 FOR TWO,50% off | Use WELCOME50
403,Aamchi mumbai snacks,4.1,Snacks,41 MINS,₹200 FOR TWO,50% off | Use WELCOME50
404,BusaGo,4.1,"Asian, Thai, Chinese, Korean, Tibetan, Beverages, Desserts, Salads, Burmese, Pan...",42 MINS,₹650 FOR TWO,50% off | Use WELCOME50
405,Faasos - Wraps & Rolls,4.1,"Fast Food, Snacks, North Indian, Indian, Healthy Food, Desserts, Beverages",39 MINS,₹200 FOR TWO,50% off | Use WELCOME50
406,Oven Story Pizza,4.1,"Pizzas, Italian",45 MINS,₹400 FOR TWO,50% off | Use WELCOME50
407,Bakewills,4.1,"Continental, Bakery, Desserts",41 MINS,₹300 FOR TWO,50% off | Use WELCOME50
408,KFC,4.1,"American, Snacks, Biryani",47 MINS,₹400 FOR TWO,20% off | Use SWIGGYIT
409,Subway,4.1,"Salads, Snacks, Desserts, Beverages",40 MINS,₹350 FOR TWO,20% off | Use TRYNEW
410,Yo Konkan,4.1,"Malwani, North Indian",42 MINS,₹350 FOR TWO,50% off | Use WELCOME50
411,Cafe IDlish - Idli Dosa Relish,4.1,"South Indian, Chettinad, Healthy Food, Thalis, Indian, Jain, Desserts, Beverages...",41 MINS,₹300 FOR TWO,50% off | Use WELCOME50
412,K3 Snacks & Sweets,4.1,"Street Food, Chinese, Snacks, Desserts",36 MINS,₹400 FOR TWO,50% off | Use WELCOME50
413,Francesco's Pizzeria,4.1,Italian,45 MINS,₹700 FOR TWO,50% off | Use WELCOME50
414,Shaolin (Since 2001),4.1,"Indian, Chinese",36 MINS,₹500 FOR TWO,50% off | Use WELCOME50
415,Aromas Cafe & Bistro - Juhu,4.0,"Pizzas, Pastas, Italian, Salads, Middle Eastern, Continental, Desserts",71 MINS,₹1000 FOR TWO,50% off | Use WELCOME50
416,Nomad Pizza- Traveller Series,4.0,Italian,72 MINS,₹1000 FOR TWO,50% off | Use WELCOME50
417,Tandoor House,4.0,"North Indian, Tandoor",58 MINS,₹500 FOR TWO,50% off | Use WELCOME50
418,China Bite,4.0,"Chinese, Thai",56 MINS,₹400 FOR TWO,50% off | Use WELCOME50
419,Mitran Da Dhaba,4.0,"Mughlai, North Indian, Chinese",51 MINS,₹500 FOR TWO,50% off | Use WELCOME50
420,BIKANER SWEETS AND NAMKEEN,4.0,"Snacks, Fast Food, Gujarati, Beverages",58 MINS,₹300 FOR TWO,50% off | Use WELCOME50
421,Shifu Express,4.0,Indian,52 MINS,₹400 FOR TWO,50% off | Use WELCOME50
422,Paratha World  ( Pure Veg ),4.0,"North Indian, Street Food, Punjabi",56 MINS,₹150 FOR TWO,50% off | Use WELCOME50
423,Bigg Bite (Bhandup),4.0,"Indian, Chinese, Biryani, North Indian, Fast Food",59 MINS,₹250 FOR TWO,50% off | Use WELCOME50
424,Say Cheese,4.0,"Snacks, Italian, Chinese, Pizzas",54 MINS,₹250 FOR TWO,50% off | Use WELCOME50
425,Paa G Delhi chaap wale,4.0,"Fast Food, Chinese, North Indian",55 MINS,₹200 FOR TWO,50% off | Use WELCOME50
426,Panditji vada pav,4.0,"Snacks, Sweets",53 MINS,₹300 FOR TWO,50% off | Use WELCOME50
427,Shawarma Factory,4.0,"Biryani, Lebanese",51 MINS,₹400 FOR TWO,50% off | Use WELCOME50
428,OYE KAKE,4.0,North Indian,53 MINS,₹1000 FOR TWO,50% off | Use WELCOME50
429,Bombay Shawarma Doner Kebab,4.0,"Arabian, Street Food, Biryani, Beverages",52 MINS,₹300 FOR TWO,50% off | Use WELCOME50
430,Veg Sutra,4.0,"Indian, Chinese",49 MINS,₹400 FOR TWO,50% off | Use WELCOME50
431,the egg magic,4.0,"Snacks, Chinese, Combo, North Indian, Beverages, Biryani",57 MINS,₹350 FOR TWO,50% off | Use WELCOME50
432,Kailash Parbat,4.0,"North Indian, Snacks, Chaat, Beverages, Desserts",55 MINS,₹250 FOR TWO,50% off | Use WELCOME50
433,Jenny's Brownies,4.0,"Bakery, Desserts, Beverages",48 MINS,₹250 FOR TWO,50% off | Use WELCOME50
434,Minks - The Nagpur Saoji Treat,4.0,"Maharashtrian, Indian, Beverages",55 MINS,₹450 FOR TWO,50% off | Use WELCOME50
435,Juno's Pizza by EatFit,4.0,"Pizzas, Pastas, Jain, Beverages, Desserts, Fast Food",51 MINS,₹500 FOR TWO,50% off | Use WELCOME50
436,Nosh & Beyond,4.0,"Italian, Pizzas, Combo, Beverages, Desserts",53 MINS,₹1000 FOR TWO,50% off | Use WELCOME50
437,Sai Lazeez,4.0,"Chinese, Biryani, Indian, Tandoor, Mughlai, Malwani",46 MINS,₹250 FOR TWO,50% off | Use WELCOME50
438,Hamdan Restaurant,4.0,"North Indian, Chinese, Biryani, Desserts, Beverages",46 MINS,₹300 FOR TWO,50% off | Use WELCOME50
439,Royale Lebanese Wraps,4.0,Indian,58 MINS,₹360 FOR TWO,50% off | Use WELCOME50
440,Bangalore Iyengars Bakery,4.0,"Bakery, Snacks",49 MINS,₹200 FOR TWO,50% off | Use WELCOME50
441,Sai Restaurant,4.0,"Chinese, Tandoor, Indian, Biryani, Malwani, North Indian",46 MINS,₹300 FOR TWO,50% off | Use WELCOME50
442,Starboy Pizza & Shakes,4.0,"Pizzas, Italian, Desserts, Beverages, Snacks, Fast Food",57 MINS,₹300 FOR TWO,50% off | Use WELCOME50
443,Monster Pizza,4.0,"Pizzas, Italian, American, Snacks",61 MINS,₹500 FOR TWO,50% off | Use WELCOME50
444,Unicon Family Restaurant,4.0,"North Indian, Chinese, Mughlai, Biryani",51 MINS,₹550 FOR TWO,50% off | Use WELCOME50
445,Mandarin Oak- The Heavenly Chinese,4.0,"Chinese, Asian, Thai",61 MINS,₹350 FOR TWO,50% off | Use WELCOME50
